file_offset,va,encoding,text
0x0016c220,0x0056d820,ascii,se_power1.wav
0x0016c230,0x0056d830,ascii,se_tan00.wav
0x0016c240,0x0056d840,ascii,se_tan01.wav
0x0016c250,0x0056d850,ascii,se_tan02.wav
0x0016c260,0x0056d860,ascii,se_ok00.wav
0x0016c26c,0x0056d86c,ascii,se_cancel00.wav
0x0016c27c,0x0056d87c,ascii,se_select00.wav
0x0016c28c,0x0056d88c,ascii,se_gun00.wav
0x0016c29c,0x0056d89c,ascii,se_cat00.wav
0x0016c2ac,0x0056d8ac,ascii,se_lazer00.wav
0x0016c2bc,0x0056d8bc,ascii,se_lazer01.wav
0x0016c2cc,0x0056d8cc,ascii,se_enep01.wav
0x0016c2dc,0x0056d8dc,ascii,se_damage00.wav
0x0016c2ec,0x0056d8ec,ascii,se_item00.wav
0x0016c2fc,0x0056d8fc,ascii,se_kira00.wav
0x0016c30c,0x0056d90c,ascii,se_kira01.wav
0x0016c31c,0x0056d91c,ascii,se_kira02.wav
0x0016c32c,0x0056d92c,ascii,se_timeout.wav
0x0016c33c,0x0056d93c,ascii,se_graze.wav
0x0016c34c,0x0056d94c,ascii,se_powerup.wav
0x0016c35c,0x0056d95c,ascii,se_pause.wav
0x0016c36c,0x0056d96c,ascii,se_cardget.wav
0x0016c37c,0x0056d97c,ascii,se_damage01.wav
0x0016c38c,0x0056d98c,ascii,se_timeout2.wav
0x0016c39c,0x0056d99c,ascii,se_invalid.wav
0x0016c3ac,0x0056d9ac,ascii,se_slash.wav
0x0016c3bc,0x0056d9bc,ascii,se_ch00.wav
0x0016c3c8,0x0056d9c8,ascii,se_ch01.wav
0x0016c3d4,0x0056d9d4,ascii,se_extend.wav
0x0016c3e4,0x0056d9e4,ascii,se_nep00.wav
0x0016c3f4,0x0056d9f4,ascii,se_bonus.wav
0x0016c404,0x0056da04,ascii,se_bonus2.wav
0x0016c414,0x0056da14,ascii,se_enep02.wav
0x0016c424,0x0056da24,ascii,se_lazer02.wav
0x0016c434,0x0056da34,ascii,se_nodamage.wav
0x0016c444,0x0056da44,ascii,se_boon00.wav
0x0016c454,0x0056da54,ascii,se_don00.wav
0x0016c464,0x0056da64,ascii,se_boon01.wav
